"State","County","BeachID","Beach Name","Year","Sample Count"
"CT","FAIRFIELD","CT992639","WEST BEACH","2015","0"
"CT","MIDDLESEX","CT104947","TOWN BEACH (CLINTON)","2003","0"
"CT","MIDDLESEX","CT104947","TOWN BEACH (CLINTON)","2004","0"
"CT","MIDDLESEX","CT104947","TOWN BEACH (CLINTON)","2005","0"
"CT","MIDDLESEX","CT104947","TOWN BEACH (CLINTON)","2006","0"
"CT","MIDDLESEX","CT104947","TOWN BEACH (CLINTON)","2007","0"
"CT","MIDDLESEX","CT104947","TOWN BEACH (CLINTON)","2008","14"
"CT","MIDDLESEX","CT104947","TOWN BEACH (CLINTON)","2009","11"
"CT","MIDDLESEX","CT104947","TOWN BEACH (CLINTON)","2010","12"
"CT","MIDDLESEX","CT104947","TOWN BEACH (CLINTON)","2011","15"
"CT","MIDDLESEX","CT104947","TOWN BEACH (CLINTON)","2012","9"
