"SiteID","Site Name","State","County","Total Number of Passing Samples","Number of Samples","Percent Pass All Samples","Grade All Samples","Dry Weather Passing Samples","Total Dry Weather Samples","Percent Pass Dry Samples","Grade Dry Samples","Wet Weather Passing Samples","Total Wet Weather Samples","Percent Pass Wet Samples","Grade Wet Samples"
"NY595159","KENNEY'S BEACH","NY","SUFFOLK","66","66","100.0","A+","66","66","100.0","A+","0","0","",""
"NY603914","WILDWOOD STATE PARK BEACH","NY","SUFFOLK","66","74","89.19","B-","44","45","97.78","A","22","29","75.86","F"
"NY612297","MILLER PLACE PARK BEACH","NY","SUFFOLK","116","122","95.08","A-","83","86","96.51","A-","33","36","91.67","B"
"NY612795","SCOTTS BEACH","NY","SUFFOLK","136","147","92.52","B","101","105","96.19","A-","35","42","83.33","C-"
"NY615322","STONY BROOK BEACH","NY","SUFFOLK","130","135","96.3","A-","89","89","100.0","A+","41","46","89.13","B-"
"NY635787","WOODCLIFF PARK POA","NY","SUFFOLK","64","67","95.52","A-","47","50","94.0","B+","17","17","100.0","A+"
"NY637755","PECONIC DUNES CAMP - SOUND","NY","SUFFOLK","0","0","","","0","0","","","0","0","",""
"NY638536","LLOYD HARBOR ESTATES","NY","SUFFOLK","175","182","96.15","A-","140","144","97.22","A","35","38","92.11","B"
"NY645739","NISSEQUOGUE POINT BEACH","NY","SUFFOLK","126","139","90.65","B-","87","94","92.55","B","39","45","86.67","C"
"NY648214","BROADWAY BEACH","NY","SUFFOLK","134","147","91.16","B","102","105","97.14","A","32","42","76.19","F"
"NY668366","LITTLE BAY BEACH","NY","SUFFOLK","88","96","91.67","B","64","70","91.43","B","24","26","92.31","B"
"NY687619","WOODHULL LANDING","NY","SUFFOLK","114","123","92.68","B","81","86","94.19","B+","33","37","89.19","B-"
"NY696743","FIDDLERS GREEN ASSOCIATION","NY","SUFFOLK","178","183","97.27","A","141","145","97.24","A","37","38","97.37","A"
"NY702605","CRESCENT BEACH - SUFFOLK","NY","SUFFOLK","176","185","95.14","A-","140","146","95.89","A-","36","39","92.31","B"
"NY707687","CENTERPORT YACHT CLUB","NY","SUFFOLK","157","183","85.79","C","128","148","86.49","C","29","35","82.86","D+"
"NY713375","WEST NECK BEACH","NY","SUFFOLK","182","189","96.3","A-","145","149","97.32","A","37","40","92.5","B"
"NY729319","PRICES BEND BEACH","NY","SUFFOLK","182","196","92.86","B","149","157","94.9","B+","33","39","84.62","C-"
"NY735511","WEST MEADOW BEACH","NY","SUFFOLK","136","147","92.52","B","91","96","94.79","B+","45","51","88.24","C+"
"NY764458","BAY HILLS POA","NY","SUFFOLK","174","186","93.55","B+","138","144","95.83","A-","36","42","85.71","C"
"NY779726","SCHUBERT BEACH","NY","SUFFOLK","135","143","94.41","B+","90","94","95.74","A-","45","49","91.84","B"
"NY790817","TIDES PROPERTY OWNERS ASSOCIATION","NY","SUFFOLK","136","155","87.74","C+","101","113","89.38","B-","35","42","83.33","C-"
"NY798115","MATTITUCK BREAKWATER BEACH","NY","SUFFOLK","65","66","98.48","A","48","49","97.96","A","17","17","100.0","A+"
"NY817008","BAYCREST ASSOCIATION BEACH","NY","SUFFOLK","173","183","94.54","B+","139","144","96.53","A-","34","39","87.18","C+"
"NY835985","INDIAN FIELD BEACH","NY","SUFFOLK","94","100","94.0","B+","66","69","95.65","A-","28","31","90.32","B-"
"NY843314","KNOLLWOOD BEACH","NY","SUFFOLK","205","218","94.04","B+","166","173","95.95","A-","39","45","86.67","C"
"NY851326","GRANTLAND BEACH","NY","SUFFOLK","75","89","84.27","C-","54","63","85.71","C","21","26","80.77","D"
"NY869747","OLD FIELD CLUB","NY","SUFFOLK","130","146","89.04","B-","89","98","90.82","B-","41","48","85.42","C"
"NY871151","SOUND BEACH POA - WEST","NY","SUFFOLK","139","148","93.92","B+","102","108","94.44","B+","37","40","92.5","B"
"NY875624","HOBART BEACH - INLET","NY","SUFFOLK","192","195","98.46","A","157","158","99.37","A+","35","37","94.59","B+"
"NY908578","SUNKEN MEADOW STATE PARK","NY","SUFFOLK","107","110","97.27","A","82","84","97.62","A","25","26","96.15","A-"
"NY921942","LLOYD NECK BATH CLUB","NY","SUFFOLK","183","189","96.83","A-","143","148","96.62","A-","40","41","97.56","A"
"NY927224","CENTERPORT BEACH","NY","SUFFOLK","187","195","95.9","A-","152","158","96.2","A-","35","37","94.59","B+"
"NY933417","WADING RIVER BEACH","NY","SUFFOLK","63","66","95.45","A-","47","48","97.92","A","16","18","88.89","C+"
"NY944001","CAMP DEWOLFE","NY","SUFFOLK","64","66","96.97","A-","47","48","97.92","A","17","18","94.44","B+"
"NY954310","SHOREHAM SHORE CLUB","NY","SUFFOLK","139","147","94.56","B+","103","108","95.37","A-","36","39","92.31","B"
"NY969774","CEDAR BEACH - WEST","NY","SUFFOLK","140","144","97.22","A","102","104","98.08","A","38","40","95.0","A-"
"NY995122","IRON PIER BEACH","NY","SUFFOLK","64","70","91.43","B","48","51","94.12","B+","16","19","84.21","C-"
"NY069186","VIP CLUB","NY","WESTCHESTER","0","0","","","0","0","","","0","0","",""
"NY072318","NEW ROCHELLE ROWING CLUB","NY","WESTCHESTER","75","77","97.4","A","55","55","100.0","A+","20","22","90.91","B-"
"NY077883","ECHO BAY YACHT CLUB","NY","WESTCHESTER","72","79","91.14","B","54","58","93.1","B+","18","21","85.71","C"
